rang,count
8750.0,1
7083.333333333333,3
8950.0,2
75000.0,14
66666.66666666667,1
24000.0,3
8333.333333333334,2
9166.666666666666,2
10416.666666666666,1
11250.0,1
14166.666666666666,3
6000.0,7
8000.0,3
8500.0,7
11000.0,6
12000.0,31
9000.0,22
11500.0,5
9500.0,86
11000.0,22
12000.0,43
8000.0,2053
16000.0,1
17500.0,4
9000.0,108
10000.0,170
11500.0,24
12500.0,28
14000.0,3
13500.0,71
21000.0,43
9500.0,108
10500.0,478
12000.000000000002,943
13000.0,225
16000.0,7
18500.0,1
21500.0,3
19000.0,65
10000.0,46
11000.0,119
12500.0,70
13500.0,233
9500.0,23
19000.0,1
10500.0,7
11500.0,114
1250.0,1
1083.3333333333333,1
13000.0,354
1166.6666666666667,2
14000.0,976
17000.0,5
18500.0,3
1500.0,13
1875.0,1
22500.0,13
20000.0,288
13500.0,28
16500.0,22
23000.0,1
14000.0,184
15499.999999999998,15
17000.0,74
18000.0,273
19500.0,1
1600.0,1
23500.0,10
21000.0,56
30000.0,1
14500.000000000002,67
16000.0,7
